Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-zw.fhir.ig.core.json	15762	-	0	0	0	0	0	0	9	66	0	0	0	0	0	0	0	0	0	0	100	101	0	0	0	7	0	2
fsh-generated/resources/AllergyIntolerance-allergyintolerance1.json	1036	3	0	0	1	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ZimCountryCS.json	1712	2	0	0	1	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	12	78	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ZimDistrictCS.json	13532	7	0	0	0	0	0	0	5	14	0	0	1	0	0	0	0	1	0	0	32	166	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-ZimFacilityTypeCS.json	1019	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	48	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ZimProvinceCS.json	2756	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	9	69	0	0	0	1	0	0
fsh-generated/resources/Condition-condition1.json	1247	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter1.json	781	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0
fsh-generated/resources/Immunization-immunization1.json	680	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0
fsh-generated/resources/Location-location1.json	487	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest1.json	726	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-zw-facility-code-ns.json	479	1	15	0	0	0	0	0	1	3	3324	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-zw-national-identity-ns.json	446	1	6	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	5	6	0	0	0	1	0	1
fsh-generated/resources/NamingSystem-zw-passport-ns.json	415	0	4	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-zw-phid-ns.json	451	1	4	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-zw-practitioner-registration-ns.json	501	1	2	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	18	5	0	0	0	1	0	0
fsh-generated/resources/Observation-observation1.json	882	1	0	0	0	0	1	0	1	926	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0
fsh-generated/resources/Organization-organization1.json	853	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Patient-patient1.json	1407	1	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/Patient-zw-patient-example.json	2284	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner1.json	755	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Procedure-procedure1.json	674	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson1.json	829	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-citizenship.json	2764	2	0	24	0	0	0	0	0	83	0	0	0	0	0	0	0	1	0	0	96	637	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-zw-allergy-intolerance.json	3109	2	0	33	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	139	276	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-zw-condition.json	2313	2	0	32	0	0	0	0	0	51	0	0	0	0	1	0	0	0	0	0	155	1075	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-zw-encounter.json	2823	2	0	51	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	216	416	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-zw-immunization.json	3150	2	0	43	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	169	359	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-zw-location.json	2492	1	0	31	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	158	220	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-zw-medication-request.json	2782	2	0	39	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	202	240	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-zw-observation.json	2438	2	0	34	0	0	0	0	0	19	0	0	1	0	0	0	0	1	0	0	149	259	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-zw-organization.json	4699	2	0	48	0	0	0	1	0	27	0	0	0	0	0	0	0	1	0	0	144	239	0	0	0	11	1	0
fsh-generated/resources/StructureDefinition-zw-patient.json	10245	5	0	104	0	0	0	0	0	62	0	0	0	0	0	0	0	2	0	0	337	446	0	0	0	23	0	1
fsh-generated/resources/StructureDefinition-zw-practitioner.json	4773	3	0	50	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	183	235	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-zw-procedure.json	2749	1	0	47	1	0	0	0	1	17	0	0	0	0	0	0	0	1	0	0	118	175	0	0	0	9	0	1
