Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-zw.fhir.ig.core.json	15762	-	0	0	0	0	0	0	15	70	0	0	0	0	0	0	0	0	0	0	108	108	0	0	0	6	0	1
fsh-generated/resources/AllergyIntolerance-allergyintolerance1.json	1036	3	0	0	1	0	0	1	0	267	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ZimCountryCS.json	1712	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	1	0	0	13	81	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ZimDistrictCS.json	13532	6	0	0	0	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	35	170	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-ZimFacilityTypeCS.json	1019	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	7	61	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ZimProvinceCS.json	2756	1	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	9	69	0	0	0	1	0	0
fsh-generated/resources/Condition-condition1.json	1247	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter1.json	781	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
fsh-generated/resources/Immunization-immunization1.json	680	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/Location-location1.json	487	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest1.json	726	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	16	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-zw-facility-code-ns.json	479	1	13	0	0	0	0	0	0	3	3558	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-zw-national-identity-ns.json	446	0	3	0	1	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-zw-passport-ns.json	415	1	1	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	4	4	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-zw-phid-ns.json	451	1	2	0	0	0	0	0	1	1	11	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-zw-practitioner-registration-ns.json	501	0	2	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
