Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-zw.fhir.ig.core.json	15762	-	0	0	0	0	0	0	8	72	0	0	0	0	0	0	0	1	0	0	109	96	0	0	0	7	0	1
fsh-generated/resources/AllergyIntolerance-allergyintolerance1.json	1036	3	0	0	1	0	0	0	1	415	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ZimCountryCS.json	1712	2	0	0	1	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	12	79	0	0	1	1	0	0
fsh-generated/resources/CodeSystem-ZimDistrictCS.json	13532	6	0	0	0	0	0	0	4	23	0	0	0	0	0	0	0	0	0	0	32	163	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-ZimFacilityTypeCS.json	1019	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	55	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ZimProvinceCS.json	2756	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	12	64	0	0	0	1	0	0
fsh-generated/resources/Condition-condition1.json	1247	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	8	13	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter1.json	781	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0
fsh-generated/resources/Immunization-immunization1.json	680	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0
fsh-generated/resources/Location-location1.json	487	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-medicationrequest1.json	726	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-zw-facility-code-ns.json	479	0	11	0	0	0	0	0	1	5	1636	0	0	0	1	0	0	0	0	0	5	7	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-zw-national-identity-ns.json	446	1	2	0	0	0	0	0	0	3	12	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-zw-passport-ns.json	415	1	1	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
